,CityId,Latitude,Longitude,PopLog,CityName
192,10947,48.3305743,21.1222112,3.792462,Encs
193,10948,47.606931,18.9918085,3.5280160000000005,Pilisborosjeno
194,10949,47.0257098,19.1234855,3.930185,Kunszentmiklos
195,11142,47.7299732,19.1473194,3.661907,Szodliget
196,11143,47.27896320000001,19.0661045,3.873902,Dunavarsany
197,11144,46.1274127,19.3319128,3.82588,Bacsalmas
198,11145,47.52673529999999,19.2834412,3.5872620000000004,Nagytarcsa
199,11146,47.555673,18.803804100000004,3.273464,Budajeno
200,11147,46.9784329,17.2811657,3.791691,Sumeg
201,11342,47.64454170000001,19.9786517,3.892429,Jaszarokszallas
202,11343,46.5553541,18.4783275,3.3151300000000004,Gyonk
203,11344,46.9122292,17.8917574,3.13258,Tihany
204,11345,46.8399054,20.2908813,3.922881,Kunszentmarton
205,11346,46.6947199,19.0277119,3.515211,Harta
206,11347,46.806042,17.7789908,3.248709,Balatonszemes
207,11348,47.5616135,19.286907100000004,4.003762,Kerepes
208,11542,47.7485389,20.4142673,3.891035,Fuzesabony
209,11543,47.2247273,21.5355206,4.1809,Berettyoujfalu
210,11544,47.4992603,18.0300173,3.722798000000001,Kisber
211,11545,46.9734439,17.928852,3.216957,Csopak
212,11742,47.0213485,21.1693932,3.959757,Szeghalom
213,11743,47.2150336,19.678569,3.644143,Cegledbercel
214,11744,46.4115096,20.7366044,3.761928,Totkomlos
215,11942,47.0259018,18.9393279,3.652053,Racalmas
216,12342,47.094771,19.0070461,3.755112,Domsod
217,12343,47.6436909,18.9672147,3.500374,Csobanka
218,12542,46.2972264,19.3235909,3.951192,Janoshalma
219,12543,47.3703744,19.5311516,3.473049,Gomba
220,12544,47.4506036,19.6066197,3.802979,Tapioszecso
221,12545,46.2642514,17.095087399999993,3.714833,Csurgo
222,12546,45.9692795,18.5161494,3.601625,Boly
223,12547,47.34461500000001,18.7527252,3.32695,Tordas
224,12548,48.1267635,22.312647,3.938019,Vasarosnameny
225,12549,46.5237655,19.2533387,3.93887,Kecel
226,12550,47.74508529999999,18.5015732,3.698275,Labatlan
227,12742,47.67024470000001,19.308359,3.890533,Erdokertes
228,12743,47.7848912,18.9705776,3.270213,Visegrad
229,12744,47.5133704,20.1410061,3.951677,Jaszapati
230,12942,46.0415605,17.988914,3.835564,Szentlorinc
231,12943,47.62225770000001,19.5558378,3.397071,Galgaheviz
232,13142,47.026289,19.5582094,4.044265,Lajosmizse
233,13342,46.1608411,18.4206938,3.604442,Pecsvarad
234,13542,46.0487525,18.2860822,3.78597,Kozarmisleny
235,13543,47.0186153,20.2813933,3.808548000000001,Martfu
236,13544,47.8452241,21.4279002,4.22981,Hajdunanas
237,13742,45.8697644,18.4555208,3.3934,Villany
238,13743,47.4047185,18.8305621,3.511215,Soskut
239,13744,47.0620043,18.0409677,3.633368,Balatonfuzfo
240,13745,46.3139611,20.8194076,3.698448,Mezohegyes
241,13746,47.5095624,19.6637179,3.527759,Toalmas
242,13942,46.4906228,19.739312100000006,4.070629,Kiskunmajsa
243,13943,47.9850963,22.5167524,3.895478,Fehergyarmat
244,14142,47.874296,21.8434965,3.994317,Nagykallo
245,14143,47.66792,19.5311002,3.769968,Kartal
246,14144,47.7859228,17.136422800000002,3.771734,Janossomorja
247,14145,47.6363477,19.3117491,3.66764,Szada
248,14342,47.6116279,21.3437378,4.239399,Balmazujvaros
249,14343,45.8477907,18.2359978,3.609061,Harkany
250,14344,47.5222089,19.5508325,3.655523000000001,Dany
251,14346,48.2183544,20.7087764,4.077913,Sajoszentpeter
252,14347,46.756962,18.5435129,3.605089,Simontornya
253,14542,47.221978,19.149033600000006,3.733839,Bugyi
254,14543,47.3918045,18.464064,3.717754,Csakvar
255,14544,46.8729306,17.6833856,2.96708,Zanka
256,14742,47.340459,19.744694,3.727053,Tapioszentmarton
257,14743,47.588634000000006,16.877426800000002,3.590061,Fertoszentmiklos
258,14744,47.6896702,19.1009549,3.3560260000000004,Szigetmonostor
259,14745,47.8183245,18.8727585,3.464638,Szob
260,14746,47.9957901,19.8276504,4.1005080000000005,Batonyterenye
261,14747,47.6337331,19.4792099,3.589167,Bag
